SubjectID,VideoID,Attention,Meditation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
0.0,0.0,56.0,43.0,278.0,301963.0,90612.0,33735.0,23991.0,27946.0,45097.0,33228.0,8293.0,0.0
0.0,0.0,40.0,35.0,-50.0,73787.0,28083.0,1439.0,2240.0,2746.0,3687.0,5293.0,2740.0,0.0
0.0,0.0,47.0,48.0,101.0,758353.0,383745.0,201999.0,62107.0,36293.0,130536.0,57243.0,25354.0,0.0
0.0,0.0,47.0,57.0,-5.0,2012240.0,129350.0,61236.0,17084.0,11488.0,62462.0,49960.0,33932.0,0.0
0.0,0.0,44.0,53.0,-8.0,1005145.0,354328.0,37102.0,88881.0,45307.0,99603.0,44790.0,29749.0,0.0
0.0,0.0,44.0,66.0,73.0,1786446.0,176766.0,59352.0,26157.0,15054.0,33669.0,33782.0,31750.0,0.0
0.0,0.0,43.0,69.0,130.0,635191.0,122446.0,90107.0,65072.0,36230.0,53019.0,62938.0,59307.0,0.0
0.0,0.0,40.0,61.0,-2.0,161098.0,12119.0,1963.0,809.0,1277.0,3186.0,3266.0,2518.0,0.0
0.0,0.0,43.0,69.0,17.0,492796.0,120998.0,63697.0,68242.0,10769.0,88403.0,73756.0,22676.0,0.0
0.0,0.0,47.0,69.0,-59.0,82048.0,116131.0,47317.0,26197.0,41642.0,28866.0,32551.0,41810.0,0.0
0.0,0.0,48.0,38.0,-14.0,757165.0,186196.0,3242.0,3841.0,18854.0,43021.0,46799.0,11928.0,0.0
0.0,0.0,44.0,48.0,72.0,667513.0,141854.0,75050.0,16234.0,45926.0,34496.0,74875.0,31839.0,0.0
0.0,0.0,47.0,34.0,121.0,165360.0,42119.0,3158.0,6256.0,7270.0,19462.0,10984.0,8148.0,0.0
0.0,0.0,48.0,30.0,-52.0,737665.0,84275.0,2235.0,38748.0,21705.0,28343.0,80927.0,24735.0,0.0
0.0,0.0,47.0,48.0,69.0,577024.0,179555.0,25937.0,21604.0,43790.0,44432.0,69203.0,25586.0,0.0
0.0,0.0,57.0,43.0,44.0,234964.0,80944.0,7991.0,32568.0,11828.0,63682.0,41013.0,18147.0,0.0
0.0,0.0,57.0,40.0,144.0,671467.0,133227.0,7142.0,14300.0,23373.0,65591.0,47860.0,16501.0,0.0
0.0,0.0,70.0,40.0,25.0,33290.0,14729.0,10980.0,10407.0,14316.0,37112.0,60378.0,36306.0,0.0
0.0,0.0,74.0,44.0,-138.0,1025416.0,268122.0,67285.0,36996.0,10083.0,80826.0,90350.0,26345.0,0.0
